sf_code,sf_name,tf_code,tf_name,city_id,marketing_area,business_line,rating,comment_count,grading,rate_grade,grade_comment,days_since_last_live
375lq2,کافی شاپ عبداللهی,28lnw2,کافی شاپ عبداللهی,1,قاسم آباد-کشاورزی,Cafe,9.188335317,545,A,A,D,1
3x61x4,میوه وارلی,5wn6o2,میوه وارلی ,1,وکیل آباد شمالی,Fruit Shop,8.478447099,1651,A,B,D,166
0ql559,آبمیوه بستنی دوستان,2x73xw,آبمیوه بستنی دوستان,1,طبرسی,Ice Cream and Juice Shop,9.153382981,891,A,A,D,23
272ljl,گوشت راد,2nk71l,گوشت راد,1,قاسم آباد-کشاورزی,Meat Shop,9.435029607,538,A,A,D,26
p51dzj,پروتئین سعید,58n1z5,پروتئین سعید,1,شیرازی,Meat Shop,8.661948111,1719,A,B,D,18
0l9nkk,ساندویچ بانو,277w99,ساندویچ بانو,1,هشتصدمتریها,Restaurant,8.974562211,1669,A,B,D,166
0rv5j9,رستوران مینا,5nl38w,رستوران مینا,1,امام رضا,Restaurant,8.233657518,4134,A,B,B,156
zne6yj,رستوران ایرانی رخ (فودکورت آبان),5n4gl5,رستوران ایرانی رخ,1,وکیل آباد جنوبی,Restaurant,8.634494143,2900,A,B,C,166
p5ly8n,کباب و حلیم بهارستان,2llwo2,کباب و حلیم بهارستان,1,امام رضا,Restaurant,8.59111782,2114,A,B,C,1
3d49ew,کترینگ سرو,5yol8k,کترینگ سرو,1,وکیل آباد شمالی,Restaurant,8.611766774,2748,A,B,C,42
32d572,فست فود رنجبر فود,5r9zl4,فست فود رنجبر ,1,خواجه ربیع-میامی,Restaurant,9.23193013,1812,A,A,D,24
0ggdlm,رستوران تنورسنگی,23xg35, رستوران تنورسنگی ,1,قاسم آباد-کشاورزی,Restaurant,9.093092247,1411,A,A,D,1
3dmglg,کترینگ تشریفات,2877x5,کترینگ تشریفات,1,وکیل آباد شمالی,Restaurant,8.754399558,4268,A,B,B,173
p6zd8e,آشپزخانه و غذای آماده حسینی و پسران,2w1glx,آشپزخانه و غذای آماده حسینی ,1,خواجه ربیع-میامی,Restaurant,8.571123873,4193,A,B,B,1
314klk,چایخانه سنتی سجاد,5w3338,چایخانه سنتی سجاد,1,وکیل آباد شمالی,Restaurant,9.179239949,1599,A,A,D,70
pzmrz1,حلیم و شله حلیم الملک,2gpxk5,حلیم و شله حلیم الملک,1,هشتصدمتریها,Restaurant,9.144452006,3988,A,A,B,1
p4xwen,رستوران قاسمی و پسران,51ow95,رستوران قاسمی و پسران,1,طبرسی,Restaurant,8.663139246,2667,A,B,C,1
3kozwk,کبابی عبدالهی شعبه 4,53133z,کبابی عبدالهی ,1,شیرازی,Restaurant,8.964196827,3357,A,B,B,1
32wo7l,حلیم نیشابوری بامداد,29xk6x,حلیم نیشابوری بامداد ,1,هشتصدمتریها,Restaurant,9.149701132,1303,A,A,D,1
0w8yd5,فست فود دلنشین,5zllnm,فست فود دلنشین,1,هشتصدمتریها,Restaurant,8.681607494,1962,A,B,D,67
6d74gn,پیتزا برگ,56xw15,پیتزا برگ,1,فرامرز-تورج,Restaurant,8.874408376,1749,A,B,D,1
0n6n8r,کترینگ صالحی,5p38pm,کترینگ صالحی,1,مطهری-آزادی,Restaurant,8.359953135,3606,A,B,B,17
pvrw81,گلچین,2zrp92,گلچین ,1,هشتصدمتریها,Restaurant,8.526392294,4119,A,B,B,43
7j5v9m,کبابی محفل,5r919g,کبابی محفل,1,خواجه ربیع-میامی,Restaurant,9.188279745,1698,A,A,D,1
p6w846,حلیم نیشابوری و صبحانه سحرخیز,2z4w92,حلیم نیشابوری و صبحانه سحرخیز,1,وکیل آباد شمالی,Restaurant,9.006335015,1653,A,A,D,1
pvxemm,فست فود چیکا برگر,59xg99,چیکا,1,وکیل آباد شمالی,Restaurant,8.28330984,4111,A,B,B,83
3dgnkx,کترینگ نون و نمک,5k11w5, کترینگ نون و نمک (احمد آباد),1,فلسطین-ملک آباد,Restaurant,8.810536445,2250,A,B,C,23
pvd741,فست فود باگت پیچ,5zlgow,باگت پیچ,1,هشتصدمتریها,Restaurant,8.696955287,1963,A,B,D,166
0yx4em,فست فود بلوط,5rwz12,فست فود بلوط,1,هشتصدمتریها,Restaurant,8.616392475,2155,A,B,C,1
27721l,فست فود رومانو پلاس,5xggnz,فست فود رمانو پلاس,1,امام رضا,Restaurant,8.491854666,2288,A,B,C,1
097qrn,نانوایی سنگکی تیسفون,27m41g,نانوایی تیسفون,2,عباس آباد - سید خندان - قصر‎‎,Bakery,9.289975361,6752,A,A,A,25
314w9w,نانوایی لواش اسلامی,2mmzg8,نانوایی لواش اسلامی,2,یافت آباد - مهرآباد جنوبی,Bakery,9.819946125,999,A,A,D,5
3drew7,نان لواش هاشمی,27mkw3,نانوایی لواش تک (نان لواش هاشمی),2,آزادی - جی - نواب‎,Bakery,9.640487981,2590,A,A,C,1
314x27,نان زرین,5zkxm4,نان زرین ,2,هفت تیر - انقلاب - ولیعصر - فردوسی,Bakery,9.566206886,1416,A,A,D,32
0rwy1z,نانوایی بربری موسوی,57mk83,نانوایی بربری موسوی,2,یوسف آباد - امیرآباد - گیشا‎,Bakery,9.266937626,4503,A,A,A,70
r5mq6z,کول کافه,2ym616,کول کافه,2,یوسف آباد - امیرآباد - گیشا‎,Cafe,9.348491052,1362,A,A,D,1
p42245,قهوه رستینو,51y47n,قهوه رستینو,2,فردوس - کاشانی - شهر زیبا,Cafe,9.027811092,1551,A,A,D,1
vxgemm,کافه روستری شاهبینز,5klwnm,کافه رستری شاهبینز,2,اکباتان-آپادانا,Cafe,9.520837633,1368,A,A,D,14
